iteration,mean_reward
7000,2.73
7001,7.13
7002,11.88
7003,16.22
7004,20.66
7005,24.56
7006,29.33
7007,33.94
7008,38.84
7009,42.71
7010,47.06
7011,49.97
7012,29.66
7013,28.96
7014,28.51
7015,27.33
7016,27.04
7017,27.27
7018,29.42
7019,26.12
7020,29.39
7021,27.52
7022,27.14
7023,28.05
7024,28.18
7025,29.10
7026,25.87
7027,28.78
7028,27.06
7029,26.09
7030,28.95
7031,26.56
7032,25.02
7033,27.86
7034,30.11
7035,27.55
7036,28.30
7037,29.84
7038,26.09
7039,27.45
7040,28.14
7041,30.60
7042,30.10
7043,26.07
7044,28.17
7045,27.53
7046,28.48
7047,27.45
7048,27.52
7049,27.46
7050,26.79
7051,26.29
7052,26.64
7053,28.62
7054,29.38
7055,27.12
7056,28.82
7057,27.44
7058,29.97
7059,29.39
7060,31.08
7061,26.94
7062,26.93
7063,26.42
7064,29.63
7065,27.32
7066,30.46
7067,31.07
7068,29.83
7069,28.64
7070,27.80
7071,27.96
7072,32.24
7073,27.35
7074,31.46
7075,27.07
7076,29.49
7077,28.06
7078,29.17
7079,28.29
7080,28.31
7081,26.35
7082,27.99
7083,31.95
7084,27.60
7085,29.73
7086,28.78
7087,26.74
7088,30.16
7089,29.04
7090,28.81
7091,28.60
7092,29.45
7093,26.65
7094,29.19
7095,27.52
7096,26.39
7097,29.60
7098,28.23
7099,28.22
7100,31.15
7101,30.65
7102,27.65
7103,29.65
7104,28.77
7105,27.19
7106,28.60
7107,30.30
7108,29.17
7109,28.29
7110,30.26
7111,29.54
7112,27.64
7113,28.78
7114,27.45
7115,29.03
7116,28.33
7117,25.63
7118,31.17
7119,27.48
7120,29.15
7121,28.39
7122,30.27
7123,28.03
7124,31.85
7125,25.83
7126,27.83
7127,30.37
7128,27.60
7129,27.44
7130,28.18
7131,29.92
7132,29.82
7133,27.82
7134,27.89
7135,31.90
7136,29.31
7137,28.63
7138,30.83
7139,30.15
7140,29.11
7141,29.56
7142,28.18
7143,29.75
7144,29.75
7145,31.15
7146,28.30
7147,30.06
7148,28.22
7149,28.77
7150,29.36
7151,30.89
7152,29.59
7153,28.26
7154,28.56
7155,27.33
7156,27.20
7157,28.91
7158,28.07
7159,28.14
7160,27.80
7161,29.36
7162,28.93
7163,29.79
7164,28.28
7165,25.71
7166,30.56
7167,26.70
7168,29.25
7169,29.10
7170,30.17
7171,28.57
7172,27.66
7173,29.20
7174,27.28
7175,27.96
7176,27.33
7177,28.39
7178,29.44
7179,28.35
7180,29.61
7181,28.29
7182,28.02
7183,30.04
7184,29.79
7185,26.99
7186,29.28
7187,27.35
7188,26.33
7189,29.40
7190,29.71
7191,29.76
7192,29.12
7193,28.27
7194,30.16
7195,26.75
7196,30.27
7197,30.74
7198,28.46
7199,27.81
7200,27.48
7201,28.84
7202,27.77
7203,28.88
7204,29.73
7205,29.75
7206,28.20
7207,30.08
7208,27.77
7209,27.01
7210,27.17
7211,28.67
7212,29.62
7213,27.26
7214,28.06
7215,27.62
7216,30.67
7217,28.39
7218,29.28
7219,29.42
7220,29.34
7221,31.03
7222,28.23
7223,27.43
7224,30.22
7225,28.97
7226,29.23
7227,29.14
7228,27.95
7229,30.23
7230,29.70
7231,29.27
7232,29.99
7233,29.38
7234,27.02
7235,27.39
7236,29.41
7237,28.87
7238,27.37
7239,29.92
7240,29.01
7241,28.46
7242,28.75
7243,29.04
7244,28.28
7245,30.41
7246,28.86
7247,29.37
7248,29.76
7249,27.08
7250,27.51
7251,29.36
7252,29.68
7253,29.52
7254,26.63
7255,26.88
7256,27.87
7257,28.29
7258,25.47
7259,30.69
7260,27.79
7261,28.81
7262,28.81
7263,28.00
7264,27.42
7265,29.60
7266,29.99
7267,29.13
7268,28.45
7269,28.66
7270,26.22
7271,28.37
7272,27.28
7273,26.52
7274,28.46
7275,27.08
7276,27.90
7277,28.14
7278,30.45
7279,27.87
7280,27.93
7281,27.69
7282,25.98
7283,29.09
7284,29.26
7285,26.18
7286,27.24
7287,28.35
7288,31.50
7289,27.89
7290,29.33
7291,29.03
7292,30.48
7293,28.40
7294,28.46
7295,26.90
7296,27.36
7297,28.82
7298,28.73
7299,29.49
7300,28.59
7301,26.58
7302,26.68
7303,29.12
7304,27.39
7305,30.47
7306,29.26
7307,25.91
7308,29.10
7309,28.66
7310,27.62
7311,26.51
7312,28.58
7313,27.21
7314,27.17
7315,30.29
7316,27.04
7317,27.26
7318,28.76
7319,30.28
7320,29.18
7321,28.37
7322,28.15
7323,27.42
7324,26.93
7325,29.59
7326,30.99
7327,29.23
7328,29.51
7329,28.51
7330,28.88
7331,25.31
7332,28.28
7333,28.49
7334,29.40
7335,27.54
7336,30.27
7337,27.83
7338,28.49
7339,29.11
7340,27.67
7341,29.83
7342,29.38
7343,28.23
7344,27.70
7345,27.87
7346,27.45
7347,29.53
7348,31.01
7349,28.28
7350,30.78
7351,28.96
7352,25.89
7353,28.35
7354,26.63
7355,29.05
7356,29.83
7357,27.07
7358,29.49
7359,29.50
7360,27.83
7361,29.06
7362,32.69
7363,29.08
7364,27.05
7365,26.24
7366,26.44
7367,26.41
7368,26.68
7369,28.93
7370,29.53
7371,29.07
7372,27.69
7373,27.99
7374,27.26
7375,26.86
7376,30.61
7377,26.59
7378,30.88
7379,27.52
7380,29.31
7381,27.99
7382,26.29
7383,29.14
7384,27.39
7385,29.52
7386,28.77
7387,29.23
7388,26.82
7389,26.38
7390,26.42
7391,28.38
7392,28.91
7393,28.55
7394,28.73
7395,27.39
7396,28.77
7397,28.23
7398,27.24
7399,26.11
7400,28.13
7401,26.81
7402,26.20
7403,26.33
7404,28.65
7405,28.54
7406,28.39
7407,28.68
7408,31.87
7409,28.24
7410,27.76
7411,26.78
7412,27.42
7413,29.23
7414,29.40
7415,26.21
7416,31.36
7417,26.31
7418,30.75
7419,28.91
7420,28.28
7421,27.77
7422,28.28
7423,27.75
7424,29.60
7425,28.63
7426,27.26
7427,27.89
7428,28.82
7429,25.50
7430,29.37
7431,28.07
7432,27.75
7433,27.22
7434,30.95
7435,28.54
7436,27.99
7437,27.95
7438,25.03
7439,28.10
7440,28.11
7441,27.93
7442,26.93
7443,30.00
7444,28.44
7445,28.27
7446,28.49
7447,27.62
7448,27.69
7449,28.28
7450,27.11
7451,30.08
7452,30.31
7453,26.85
7454,27.99
7455,29.36
7456,27.08
7457,26.79
7458,28.98
7459,25.71
7460,26.72
7461,28.88
7462,29.52
7463,27.00
7464,30.14
7465,28.75
7466,28.15
7467,30.17
7468,30.31
7469,28.66
7470,28.82
7471,31.55
7472,29.22
7473,28.39
7474,28.50
7475,27.55
7476,27.18
7477,30.22
7478,27.21
7479,29.96
7480,25.78
7481,25.13
7482,29.36
7483,28.78
7484,26.72
7485,30.63
7486,26.33
7487,27.48
7488,30.14
7489,29.38
7490,25.75
7491,28.38
7492,27.51
7493,27.26
7494,29.25
7495,28.44
7496,28.78
7497,29.98
7498,29.54
7499,29.32
7500,28.73
7501,28.11
7502,28.93
7503,28.68
7504,28.54
7505,30.15
7506,27.13
7507,27.30
7508,28.59
7509,27.45
7510,28.30
7511,26.34
7512,27.00
7513,29.98
7514,29.03
7515,29.34
7516,28.61
7517,26.05
7518,27.94
7519,28.22
7520,28.66
7521,28.73
7522,30.57
7523,28.30
7524,26.48
7525,30.58
7526,28.32
7527,29.42
7528,27.46
7529,27.98
7530,26.27
7531,29.52
7532,26.68
7533,28.44
7534,28.57
7535,27.91
7536,27.96
7537,29.68
7538,31.33
7539,29.30
7540,27.28
7541,27.06
7542,28.45
7543,28.22
7544,30.64
7545,29.96
7546,29.77
7547,25.43
7548,26.86
7549,28.05
7550,25.82
7551,30.06
7552,29.86
7553,29.78
7554,27.83
7555,28.90
7556,28.20
7557,29.54
7558,27.89
7559,28.85
7560,28.16
7561,26.34
7562,28.79
7563,29.77
7564,26.98
7565,29.08
7566,28.41
7567,30.57
7568,28.88
7569,28.15
7570,30.07
7571,28.89
7572,26.26
7573,28.16
7574,28.66
7575,30.10
7576,28.34
7577,28.38
7578,27.84
7579,30.73
7580,28.99
7581,25.98
7582,29.06
7583,30.03
7584,29.23
7585,29.66
7586,29.01
7587,29.23
7588,28.68
7589,28.00
7590,27.68
7591,27.16
7592,25.57
7593,25.93
7594,28.48
7595,28.21
7596,27.23
7597,27.04
7598,29.02
7599,25.16
7600,26.48
7601,27.06
7602,26.72
7603,27.35
7604,26.13
7605,29.44
7606,29.48
7607,29.92
7608,27.07
