gen,fit_mean,fit_max,fit_min,score_mean,coins_mean,lives_lost_mean,theta_fit,theta_score,wall_s
1,68.75,196.66666666666666,-143.33333333333334,363.8888888888889,16.38888888888889,2.951388888888889,95.0,378.3333333333333,513.5
2,105.625,273.3333333333333,-53.333333333333336,402.15277777777777,16.46527777777778,2.9652777777777777,55.0,355.0,439.9
3,102.15277777777777,216.66666666666666,13.333333333333334,385.4861111111111,17.333333333333332,2.8333333333333335,93.33333333333333,376.6666666666667,472.8
4,102.22222222222223,316.6666666666667,0.0,380.0,17.479166666666668,2.7777777777777777,95.0,378.3333333333333,441.8
5,51.94444444444445,213.33333333333334,-110.0,345.0,15.92361111111111,2.9305555555555554,108.33333333333333,391.6666666666667,527.4
6,38.40277777777778,110.0,-126.66666666666667,330.06944444444446,16.51388888888889,2.9166666666666665,100.0,383.3333333333333,477.0
7,22.430555555555554,140.0,-173.33333333333334,316.875,16.0625,2.9444444444444446,90.0,390.0,532.0
8,74.44444444444444,176.66666666666666,-113.33333333333333,371.6666666666667,15.777777777777779,2.9722222222222223,98.33333333333333,381.6666666666667,479.7
9,30.347222222222225,130.0,-166.66666666666666,326.875,15.430555555555555,2.9652777777777777,81.66666666666667,365.0,472.8
10,5.138888888888888,80.0,-26.666666666666668,304.44444444444446,16.34722222222222,2.9930555555555554,106.66666666666667,406.6666666666667,552.6
11,53.05555555555555,176.66666666666666,-96.66666666666667,349.5833333333333,15.583333333333334,2.9652777777777777,20.0,303.3333333333333,463.3
12,80.69444444444444,180.0,-53.333333333333336,377.9166666666667,16.541666666666668,2.9722222222222223,41.666666666666664,341.6666666666667,549.1
13,-4.166666666666667,103.33333333333333,-63.333333333333336,293.05555555555554,16.28472222222222,2.9722222222222223,71.66666666666667,371.6666666666667,609.5
14,41.666666666666664,123.33333333333333,-53.333333333333336,338.19444444444446,17.04861111111111,2.9652777777777777,-23.333333333333332,276.6666666666667,495.2
15,-27.361111111111114,186.66666666666666,-276.6666666666667,263.6111111111111,13.583333333333334,2.9097222222222223,180.0,430.0,560.0
16,36.875,176.66666666666666,-153.33333333333334,329.2361111111111,16.84722222222222,2.923611111111111,48.333333333333336,348.3333333333333,575.7
17,62.43055555555555,253.33333333333334,-120.0,340.90277777777777,17.11111111111111,2.7847222222222223,86.66666666666667,370.0,598.1
18,98.2638888888889,326.6666666666667,-113.33333333333333,375.34722222222223,17.5,2.7708333333333335,103.33333333333333,386.6666666666667,569.0
19,82.0138888888889,213.33333333333334,-280.0,364.65277777777777,16.1875,2.826388888888889,160.0,443.3333333333333,514.9
20,60.06944444444445,283.3333333333333,-280.0,345.4861111111111,15.590277777777779,2.8541666666666665,200.0,416.6666666666667,520.0
21,80.69444444444444,263.3333333333333,-173.33333333333334,360.55555555555554,16.333333333333332,2.798611111111111,126.66666666666667,410.0,503.7
22,75.34722222222221,213.33333333333334,-280.0,364.2361111111111,16.041666666666668,2.888888888888889,121.66666666666667,405.0,524.6
23,94.2361111111111,280.0,-186.66666666666666,369.93055555555554,15.63888888888889,2.7569444444444446,91.66666666666667,391.6666666666667,534.3
24,22.152777777777775,256.6666666666667,-253.33333333333334,306.18055555555554,14.715277777777779,2.8402777777777777,113.33333333333333,346.6666666666667,491.0
25,39.23611111111111,246.66666666666666,-226.66666666666666,328.125,16.25,2.888888888888889,26.666666666666668,326.6666666666667,500.2
26,119.72222222222221,280.0,-76.66666666666667,401.6666666666667,17.041666666666668,2.8194444444444446,50.0,350.0,526.1
27,31.249999999999996,186.66666666666666,-276.6666666666667,320.1388888888889,16.42361111111111,2.888888888888889,108.33333333333333,358.3333333333333,700.9
28,85.4861111111111,270.0,-280.0,366.0416666666667,16.77777777777778,2.8055555555555554,101.66666666666667,368.3333333333333,651.3
29,98.68055555555556,293.3333333333333,-180.0,383.40277777777777,15.770833333333334,2.8472222222222223,161.66666666666666,461.6666666666667,639.2
30,42.77777777777777,230.0,-180.0,336.52777777777777,15.041666666666666,2.9375,153.33333333333334,453.3333333333333,668.9
